1924A "Did We Get Everything Covered?" "constructive algorithms, dp, greedy, shortest paths, strings" "You are given two integers n and k along with a string s.
Your task is to check whether all possible strings of length n that can be formed using the first k lowercase English alphabets occur as a subsequence of s. If the answer is NO, you also need to print a string of length n that can be formed using the first k lowercase English alphabets which does not occur as a subsequence of s.
If there are multiple answers, you may print any of them.
Note: A string a is called a subsequence of another string b if a can be obtained by deleting some (possibly zero) characters from b without changing the order of the remaining characters.
The first line of input contains a single integer t(1\xe2\x89\xa4t\xe2\x89\xa4105), the number of test cases.
The first line of each test case contains 3 integers n(1\xe2\x89\xa4n\xe2\x89\xa426),k(1\xe2\x89\xa4k\xe2\x89\xa426),m(1\xe2\x89\xa4m\xe2\x89\xa41000), where n and k are the same as described in the input and m is the length of the string s.
The second line of each test case contains a single string s of length m, comprising only of the first k lowercase English alphabets.
It is guaranteed that the sum of m and the sum of n over all test cases does not exceed 106.
For each test case, print YES if all possible strings of length n that can be formed using the first k lowercase English alphabets occur as a subsequence of s, else print NO.
If your answer is NO, print a string of length n that can be formed using the first k lowercase English alphabets which does not occur as a subsequence of s in the next line.
You may print each letter of YES or NO in any case (for example, YES, yES, YeS will all be recognized as a positive answer).
For the first test case, all possible strings (aa, ab, ba, bb) of length 2 that can be formed using the first 2 English alphabets occur as a subsequence of abba.
For the second test case, the string aa is not a subsequence of abb." "1500  x14094"
1923F Shrink-Reverse "binary search, brute force, greedy, hashing, implementation, string suffix structures, strings" "You are given a binary string s of length n (a string consisting of n characters, and each character is either 0 or 1).
Let\'s look at s as at a binary representation of some integer, and name that integer as the value of string s. For example, the value of 000 is 0, the value of 01101 is 13, ""100000"" is 32 and so on.
You can perform at most k operations on s. Each operation should have one of the two following types: 
What is the minimum value of s you can achieve by performing at most k operations on s?
The first line contains two integers n and k (2\xe2\x89\xa4n\xe2\x89\xa45\xe2\x8b\x85105; 1\xe2\x89\xa4k\xe2\x89\xa4n) \xe2\x80\x94 the length of the string s and the maximum number of operations.
The second line contains the string s of length n consisting of characters 0 and/or 1. 
Additional constraint on the input: s contains at least one 1.
Print a single integer \xe2\x80\x94 the minimum value of s you can achieve using no more than k operations. Since the answer may be too large, print it modulo 109+7.
Note that you need to minimize the original value, not the remainder.
In the first example, one of the optimal strategies is the following: 
In the second example, one of the optimal strategies is the following: " "2800  x378"
1923E "Count Paths" "data structures, dfs and similar, dp, dsu, graphs, trees" "You are given a tree, consisting of n vertices, numbered from 1 to n. Every vertex is colored in some color, denoted by an integer from 1 to n.
A simple path of the tree is called beautiful if: 
Count the number of the beautiful simple paths of the tree. Note that paths are considered undirected (i. e. the path from x to y is the same as the path from y to x).
The first line contains a single integer t (1\xe2\x89\xa4t\xe2\x89\xa4104) \xe2\x80\x94 the number of testcases.
The first line of each testcase contains a single integer n (2\xe2\x89\xa4n\xe2\x89\xa42\xe2\x8b\x85105) \xe2\x80\x94 the number of vertices in the tree.
The second line contains n integers c1,c2,\xe2\x80\xa6,cn (1\xe2\x89\xa4ci\xe2\x89\xa4n) \xe2\x80\x94 the color of each vertex.
The i-th of the next n\xe2\x88\x921 lines contains two integers vi and ui (1\xe2\x89\xa4vi,ui\xe2\x89\xa4n; vi\xe2\x89\xa0ui) \xe2\x80\x94 the i-th edge of the tree.
The given edges form a valid tree. The sum of n over all testcases doesn\'t exceed 2\xe2\x8b\x85105.
For each testcase, print a single integer \xe2\x80\x94 the number of the beautiful simple paths of the tree." "2000  x3931"
1923D Slimes "binary search, constructive algorithms, data structures, greedy, two pointers" "There are n slimes placed in a line. The slimes are numbered from 1 to n in order from left to right. The size of the i-th slime is ai.
Every second, the following happens: exactly one slime eats one of its neighbors and increases its size by the eaten neighbor\'s size. A slime can eat its neighbor only if it is strictly bigger than this neighbor. If there is no slime which is strictly bigger than one of its neighbors, the process ends.
For example, suppose n=5, a=[2,2,3,1,4]. The process can go as follows:
For each slime, calculate the minimum number of seconds it takes for this slime to be eaten by another slime (among all possible ways the process can go), or report that it is impossible.
The first line contains a single integer t (1\xe2\x89\xa4t\xe2\x89\xa4104) \xe2\x80\x94 the number of test cases.
The first line of each test case contains a single integer n (1\xe2\x89\xa4n\xe2\x89\xa43\xe2\x8b\x85105) \xe2\x80\x94 the number of slimes.
The second line contains n integers a1,a2,\xe2\x80\xa6,an (1\xe2\x89\xa4ai\xe2\x89\xa4109).
The sum of n over all test cases doesn\'t exceed 3\xe2\x8b\x85105.
For each test case, print n integers. The i-th integer should be equal to the minimum number of seconds it takes for the i-th slime to be eaten by another slime or -1 if it is impossible." "1800  x6886"
1923C "Find B" "constructive algorithms, greedy" "An array a of length m is considered good if there exists an integer array b of length m such that the following conditions hold: 
You are given an array c of length n. Each element of this array is greater than 0.
You have to answer q queries. During the i-th query, you have to determine whether the subarray cli,cli+1,\xe2\x80\xa6,cri is good.
The first line contains one integer t (1\xe2\x89\xa4t\xe2\x89\xa4104) \xe2\x80\x94 the number of test cases.
The first line of each test case contains two integers n and q (1\xe2\x89\xa4n,q\xe2\x89\xa43\xe2\x8b\x85105) \xe2\x80\x94 the length of the array c and the number of queries.
The second line of each test case contains n integers c1,c2,\xe2\x80\xa6,cn (1\xe2\x89\xa4ci\xe2\x89\xa4109).
Then q lines follow. The i-th of them contains two integers li and ri (1\xe2\x89\xa4li\xe2\x89\xa4ri\xe2\x89\xa4n) \xe2\x80\x94 the borders of the i-th subarray.
Additional constraints on the input: the sum of n over all test cases does not exceed 3\xe2\x8b\x85105; the sum of q over all test cases does not exceed 3\xe2\x8b\x85105.
For each query, print YES if the subarray is good. Otherwise, print NO.
You can output each letter of the answer in any case (upper or lower). For example, the strings yEs, yes, Yes, and YES will all be recognized as positive responses." "1400  x15295"
1923B "Monsters Attack!" "dp, greedy, implementation" "You are playing a computer game. The current level of this game can be modeled as a straight line. Your character is in point 0 of this line. There are n monsters trying to kill your character; the i-th monster has health equal to ai and is initially in the point xi.
Every second, the following happens:
Can you survive and kill all n monsters without letting any of them reach your character?
The first line of the input contains one integer t (1\xe2\x89\xa4t\xe2\x89\xa43\xe2\x8b\x85104) \xe2\x80\x94 the number of test cases.
Each test case consists of three lines:
Additional constraint on the input: the sum of n over all test cases does not exceed 3\xe2\x8b\x85105.
For each test case, print YES if you can kill all n monsters before they reach your character, or NO otherwise.
You can output each letter of the answer in any case (upper or lower). For example, the strings yEs, yes, Yes, and YES will all be recognized as positive responses.
In the first example, you can act as follows:
