1910B "Security Guard" "*special problem, greedy" "Monocarp is a security guard in Berland State University. Every day, he tracks how many people and at what time enter and leave the university. He writes this information down as follows: 
At the beginning of the current day, there are no people at the university, except for Monocarp. During the day, Monocarp wrote out a sequence s. The characters in s are listed in the order Monocarp wrote them.
Suddenly, Monocarp\'s boss decided to check his work. Unfortunately, Monocarp is a bit careless. So, the sequence s that he wrote might be impossible. For example, the sequence ""+--"" can\'t happen, since it represents a scenario when one person enters the university and two leave.
Before his boss starts checking the sequence, Monocarp has the time to swap at most one pair of characters in it. Can he do it in such a way that the resulting sequence is plausible? Note that if the given sequence is already plausible, Monocarp doesn\'t have to swap anything.
The first line contains a single integer t (1\xe2\x89\xa4t\xe2\x89\xa4104) \xe2\x80\x94 the number of test cases.
The only line of each test case contains a single string s (1\xe2\x89\xa4|s|\xe2\x89\xa43\xe2\x8b\x85105), consisting only of characters \'+\' and/or \'-\'. A plus sign \'+\' represents a person entering the university. A minus sign \'-\' represents a person leaving the university.
The sum of all |s| over all test cases doesn\'t exceed 3\xe2\x8b\x85105.
For each test case, print an answer.
If it\'s impossible to swap at most one pair of characters so that the resulting sequence is plausible, print -1.
Otherwise, print two integers. If you swap one pair of characters, print two distinct integers from 1 to n \xe2\x80\x94 the indices of characters to swap. If you don\'t swap, print one integer from 1 to n twice \xe2\x80\x94 swap a character with itself.
If there are multiple answers, print any of them." "1600  x681"
1910A Username "*special problem, implementation" "On the official website of Berland, each account has two parameters: username and ID.
Username is a string consisting of lowercase Latin letters and/or digits, which contains at least one letter. For example, user0, 1fox1, zzzz are correct usernames, but 1337 and User22 are not. 
The ID of the account for a given username is generated as follows: a positive integer without leading zeroes is appended to the end of the username. For example, the ID user0125 can be generated by the following usernames: user012, user01, user0; but neither by user nor us.
You are given a string s \xe2\x80\x94 a valid ID. Your task is to determine any valid username that can generate the given ID. If there are several correct usernames, you can print any of them.
The first line contains a single integer t (1\xe2\x89\xa4t\xe2\x89\xa4103) \xe2\x80\x94 the number of test cases.
The only line of each test case contains a string s (2\xe2\x89\xa4|s|\xe2\x89\xa450), consisting of lowercase Latin letters and/or digits.
Additional constraint on input: there is at least one valid username that can generate the given ID.
For each test case on a separate line, print a string \xe2\x80\x94 any valid username that can generate the given ID. If there are multiple correct usernames, you can print any of them." "1100  x1792"
1909I "Short Permutation Problem" "combinatorics, dp, fft, math" "You are given an integer n.
For each (m,k) such that 3\xe2\x89\xa4m\xe2\x89\xa4n+1 and 0\xe2\x89\xa4k\xe2\x89\xa4n\xe2\x88\x921, count the permutations of [1,2,...,n] such that pi+pi+1\xe2\x89\xa5m for exactly k indices i, modulo 998244353.
The input consists of a single line, which contains two integers n, x (2\xe2\x89\xa4n\xe2\x89\xa44000, 1\xe2\x89\xa4x<1000000007).
Let am,k be the answer for the pair (m,k), modulo 998244353.
Let S=n+1\xe2\x88\x91m=3n\xe2\x88\x921\xe2\x88\x91k=0am,kxmn+k0.
Output a single line with an integer: S modulo 1000000007.
Note that using two different modulos is intentional. We want you to calculate all the am,k modulo 998244353, then treat them like integers in the range [0,998244352], and hash them modulo 1000000007.
In the first test case, the answers for all (m,k) are shown in the following table:
Therefore, the value to print is 29\xe2\x8b\x850+210\xe2\x8b\x850+211\xe2\x8b\x856+212\xe2\x8b\x850+213\xe2\x8b\x854+214\xe2\x8b\x852\xe2\x89\xa1778240(mod01000000007).
In the second test case, the answers for all (m,k) are shown in the following table:
In the third test case, the answers for all (m,k) are shown in the following table:" "1900  x119"
1909H "Parallel Swaps Sort" "constructive algorithms, data structures" "You are given a permutation p1,p2,\xe2\x80\xa6,pn of [1,2,\xe2\x80\xa6,n]. You can perform the following operation some (possibly 0) times:
Sort the permutation in at most 106 operations. You do not need to minimize the number of operations.
The first line contains a single integer n (2\xe2\x89\xa4n\xe2\x89\xa43\xe2\x8b\x85105) \xe2\x80\x94 the length of the permutation.
The second line contains n integers p1,p2,\xe2\x80\xa6,pn (1\xe2\x89\xa4pi\xe2\x89\xa4n, the pi are distinct) \xe2\x80\x94 the permutation before performing the operations.
Output your operations in the following format.
The first line should contain an integer k (0\xe2\x89\xa4k\xe2\x89\xa4106) \xe2\x80\x94 the number of operations.
The next k lines represent the k operations in order. Each of these k lines should contain two integers l and r (1\xe2\x89\xa4l<r\xe2\x89\xa4n, r\xe2\x88\x92l+1 must be even) \xe2\x80\x94 the corresponding operation consists in choosing the subarray [l,r] and swapping its elements according to the problem statement.
After all the operations, ai=i must be true for each i (1\xe2\x89\xa4i\xe2\x89\xa4n).
In the first test: 
In the second test, the permutation is already sorted, so you do not need to perform any operation." "3500  x80"
1909G "Pumping Lemma" "hashing, strings" "You are given two strings ss, tt of length nn, mm, respectively. Both strings consist of lowercase letters of the English alphabet.
Count the triples (x,y,z)(x,y,z) of strings such that the following conditions are true:
The first line contains two integers n and m (1\xe2\x89\xa4n<m\xe2\x89\xa4107) \xe2\x80\x94 the length of the strings s and t, respectively.
The second line contains the string s of length n, consisting of lowercase letters of the English alphabet.
The third line contains the string t of length m, consisting of lowercase letters of the English alphabet.
Output a single integer: the number of valid triples (x,y,z).
In the first test case, the only valid triple is (x,y,z)=(""a"",""bc"",""d""). In fact, 
In the second test case, there are 5 valid triples: 
In the third test case, there are 8 valid triples: " "3000  x416"
1909F2 "Small Permutation Problem (Hard Version)" "combinatorics, dp, math" "In the easy version, the aiai are in the range [0,n]; in the hard version, the ai are in the range [\xe2\x88\x921,n] and the definition of good permutation is slightly different. You can make hacks only if all versions of the problem are solved.
You are given an integer n and an array a1,a2,\xe2\x80\xa6,an of integers in the range [\xe2\x88\x921,n].
A permutation p1,p2,\xe2\x80\xa6,pn of [1,2,\xe2\x80\xa6,n] is good if, for each i, the following condition is true: 
Count the good permutations of [1,2,\xe2\x80\xa6,n], modulo 998244353.
Each test contains multiple test cases. The first line contains the number of test cases t (1\xe2\x89\xa4t\xe2\x89\xa4104). The description of the test cases follows.
The first line of each test case contains a single integer n (1\xe2\x89\xa4n\xe2\x89\xa42\xe2\x8b\x85105) \xe2\x80\x94 the length of the array a.
The second line of each test case contains n integers a1,a2,\xe2\x80\xa6,an (\xe2\x88\x921\xe2\x89\xa4ai\xe2\x89\xa4n), which describe the conditions for a good permutation.
It is guaranteed that the sum of n over all test cases does not exceed 2\xe2\x8b\x85105.
For each test case, output a single line containing the number of good permutations, modulo 998244353.
In the first test case, all the permutations of length 5 are good, so there are 120 good permutations.
In the second test case, the only good permutation is [1,2,3,4,5].
In the third test case, there are 4 good permutations: [2,1,5,6,3,4], [2,1,5,6,4,3], [2,1,6,5,3,4], [2,1,6,5,4,3]. For example, [2,1,5,6,3,4] is good because: " "2500  x951"
1909F1 "Small Permutation Problem (Easy Version)" "brute force, combinatorics, dp, math" "In the easy version, the aiai are in the range [0,n][0,n]; in the hard version, the aiai are in the range [\xe2\x88\x921,n][\xe2\x88\x921,n] and the definition of good permutation is slightly different. You can make hacks only if all versions of the problem are solved.
You are given an integer nn and an array a1,a2\xe2\x80\xa6,an of integers in the range [0,n].
A permutation p1,p2,\xe2\x80\xa6,pn of [1,2,\xe2\x80\xa6,n] is good if, for each i, the following condition is true: 
Count the good permutations of [1,2,\xe2\x80\xa6,n], modulo 998244353.
Each test contains multiple test cases. The first line contains the number of test cases t (1\xe2\x89\xa4t\xe2\x89\xa4104). The description of the test cases follows.
The first line of each test case contains a single integer n (1\xe2\x89\xa4n\xe2\x89\xa42\xe2\x8b\x85105) \xe2\x80\x94 the length of the array a.
